provider_id,program_id,provider_type,legal_name,normalized_name,jurisdiction,authorization_date,current_status,practice_areas_raw,practice_areas_list,ownership_structure,uses_technology,uses_ai,website,first_seen_snapshot_id,last_seen_snapshot_id,source_url,retrieved_at,scraper_version
prov_az_abs_4daea1d6eca7,prog_az_abs,entity,"LegaFi Law, LLC",legafi law,AZ,,active,"",,,,,https://legafi.com/,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_51c0a1621785,prog_az_abs,entity,"Vertical Advocacy, LLC",vertical advocacy,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_547aa1cd5ac8,prog_az_abs,entity,"BrightRidge Legal, LLC (formerly Cartiga Legal, LLC)",brightridge legal formerly cartiga legal,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_556cf7235519,prog_az_abs,entity,"Law Leaders (Formerly, First Law, LLC)",law leaders formerly first law,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_569575073a01,prog_az_abs,entity,"True North Justice, LLC (formerly Sunridge Law Group, LLC)",true north justice formerly sunridge law group,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_578910a125fc,prog_az_abs,entity,"LZ Legal Services, LLC",lz legal services,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_587807ddd266,prog_az_abs,entity,"Ryan Legal Services, PLLC",ryan legal services,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_5a5318b85992,prog_az_abs,entity,Arete Financial Solutions,arete financial solutions,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_5c1bc30bf02a,prog_az_abs,entity,"Manifest Legal Services, LLC",manifest legal services,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_5e62ee7b4f1c,prog_az_abs,entity,"Auxana Legal, LLC",auxana legal,AZ,,active,"",,,,,,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_5ea40cfff264,prog_az_abs,entity,"Crimson Talent Immigration, LLC",crimson talent immigration,AZ,,active,"",,,,,,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_5f472d7108ab,prog_az_abs,entity,"Swyft Legal, LLC",swyft legal,AZ,,active,"[""All Arizona Counties""]",,,,,https://www.swyftfilings.com,snap_a6e3d292014fceaf,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_61d31833b18a,prog_az_abs,entity,"Elysium Legal-AZ, LLC",elysium legal az,AZ,,active,"[""Estate Planning""]",,,,,https://myelysium.com/,snap_9f99d17bf219186a,snap_5d78c901889976f5,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2026-07-19T23:02:51.062810+0000,0.1.0
prov_az_abs_6268bb22063f,prog_az_abs,entity,Cactus Blossom Legal LLC,cactus blossom legal,AZ,,exited,"[""Inactive""]",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
prov_az_abs_63a0097d9ba8,prog_az_abs,entity,"eLegacy Law,LLC",elegacy law,AZ,,exited,"",,,,,,snap_a6e3d292014fceaf,snap_a6e3d292014fceaf,https://www.azcourts.gov/cld/Alternative-Business-Structure/Directory,2024-11-08T20:22:47.000000+0000,wayback-0.1.0
